Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,EnvironmentVariables,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Field,Mean,Error,StdDev
ResizeNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(DictionaryFull startCapacity:42046, originalSize:10000, curCapacity:43627, newSize:10000, ResizeTo:63069)",98.07 ms,0.5701 ms,0.5333 ms
ResizeOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(DictionaryFull startCapacity:42046, originalSize:10000, curCapacity:43627, newSize:10000, ResizeTo:63069)",97.04 ms,0.8857 ms,0.7396 ms
ResizeNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(DictionaryFull startCapacity:450614, originalSize:100000, curCapacity:467237, newSize:100000, ResizeTo:675921)","1,006.10 ms",5.1495 ms,4.0204 ms
ResizeOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(DictionaryFull startCapacity:450614, originalSize:100000, curCapacity:467237, newSize:100000, ResizeTo:675921)","1,012.50 ms",3.6518 ms,2.8511 ms
ResizeNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:10000, originalSize:21023, curCapacity:75431, newSize:11023, ResizeTo:84092)",106.83 ms,0.5696 ms,0.5049 ms
ResizeOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:10000, originalSize:21023, curCapacity:75431, newSize:11023, ResizeTo:84092)",106.85 ms,0.3707 ms,0.3468 ms
ResizeNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:100000, originalSize:225307, curCapacity:807403, newSize:125307, ResizeTo:901228)","1,293.48 ms",38.9684 ms,34.5444 ms
ResizeOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:100000, originalSize:225307, curCapacity:807403, newSize:125307, ResizeTo:901228)","1,269.52 ms",6.8357 ms,5.7082 ms
ResizeNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:42046, originalSize:10000, curCapacity:43627, newSize:5000, ResizeTo:63069)",49.43 ms,4.3402 ms,4.6440 ms
ResizeOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:42046, originalSize:10000, curCapacity:43627, newSize:5000, ResizeTo:63069)",47.86 ms,0.3675 ms,0.3438 ms
ResizeNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:450614, originalSize:100000, curCapacity:467237, newSize:50000, ResizeTo:675921)",506.94 ms,2.0138 ms,1.5723 ms
ResizeOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:450614, originalSize:100000, curCapacity:467237, newSize:50000, ResizeTo:675921)",508.18 ms,2.6384 ms,2.0599 ms
